timestamp_us,positions,velocities,efforts,motorVelocities,positionCommands,velocityCommands,effortCommands,pwmCommands
1580424332187220,-0.0275041    1.37145,-0.0237128   -1.45943,0.0601901 -0.520349,      0 -2102.49,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332188212,-0.027542   1.36998,-0.0309524   -1.46446,0.060278 -0.502354,      0 -2102.96,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332189211,-0.0275158    1.36863,-0.0111641   -1.42161,0.0635831 -0.547489,      0 -2102.96,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332190220,-0.0275178     1.3672,-0.0051918   -1.42073,0.0638383 -0.518246,      0 -2102.96,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332191197,-0.0274676    1.36568,0.0175148  -1.45583,0.0637749 -0.459885,      0 -2101.37,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332192230,-0.0275047    1.36431,0.00110186   -1.42587,0.0685408 -0.463593,      0 -2101.37,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332193201,-0.0274819    1.36289,0.00814903   -1.42246,0.0646777 -0.438557,      0 -2101.37,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332194166,-0.0274911    1.36152,0.00233303   -1.40075,0.059975 -0.429497,      0 -2101.37,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332195175,-0.0274754    1.36026,0.00669896   -1.34424,0.0516055 -0.461593,      0 -2101.37,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332196114,-0.0274158    1.35887,0.0271272  -1.35024,0.046091 -0.434579,     0 -2100.2,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332197124,-0.0274739    1.35749,-0.0016897   -1.35828,0.0497856 -0.409502,     0 -2100.2,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332198192,-0.0274207    1.35616,0.0156491  -1.34785,0.0499062 -0.419749,     0 -2100.2,nan nan,nan nan,nan  -1,-0 -0.800643 
1580424332199200,-0.027482   1.35474,-0.0118094   -1.37275,0.0573364    -0.416,      0 -2098.41,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332200205,-0.0275023    1.35332,-0.0188435    -1.3975,0.0542137 -0.402191,      0 -2098.41,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332201175,-0.0275387    1.35188,-0.0278845   -1.41663,0.0604916 -0.407482,      0 -2096.56,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332202222,-0.0274897    1.35044,-0.00109121    -1.42906,0.0595457 -0.407877,      0 -2096.56,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332203208,-0.0274519    1.34901,0.017063 -1.43309,0.0618976 -0.387903,      0 -2096.56,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332204210,-0.0274735    1.34761,0.00650886   -1.42294,0.0665311 -0.401337,      0 -2098.41,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332205171,-0.0274885    1.34623,-0.00188443    -1.40615,0.0623399 -0.402712,      0 -2098.41,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332206167,-0.0274999    1.34487,-0.00691 -1.38756,0.0590458 -0.404712,      0 -2098.41,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332207191,-0.0274597    1.34348,0.00959147   -1.38153,0.0532044 -0.437203,      0 -2098.41,nan nan,nan nan,nan  -1,-0 -0.801715 
1580424332208190,-0.027432   1.34218,0.0186056  -1.34932,0.0527714 -0.436433,      0 -2098.41,nan nan,nan nan,nan  -1,-0 -0.801715 
